full_name,url,url_api
Josue Filipe Soares Pesqueira,https://www.mackolik.com/futbolcu/josu%C3%A9/sezon/3s1bss81k11vwd78ejbk1tiol,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2ncz91xgsl3amfnpx7ygx1990&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W33f811ba3b16ecb5afede3f582f7a0c2679c30bf4
Samil Cinaz,https://www.mackolik.com/futbolcu/%C5%9Famil-cinaz/sezon/6jmk5qmjd4j1y4w86uf0yfjyt,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=c8ns6z3u8kxldv1zh1evu10rv&_lcl=tr&_fmt=jsonp&_clbk=W3317614eaf6a7ebb050ce2f0e13f1b51044d089af
Oguz Gurbulak,https://www.mackolik.com/futbolcu/o%C4%9Fuz-g%C3%BCrbulak/sezon/bnrgej1era51f3e3wpaqmvn4l,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=v0qx960sz1tq9mprlxrcnfl5&_lcl=tr&_fmt=jsonp&_clbk=W3e2f4fb3d34ad50add4a64a2823e3e4c71d4051b7
Edin Visca,https://www.mackolik.com/futbolcu/e-vi%C5%A1%C4%87a/sezon/e4ye2q2h31wmwv8wvsqpiz0t1,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=2yab38jdfl0gk2tei1mq40o06&_lcl=tr&_fmt=jsonp&_clbk=W3f0e516978e9acbffe71ca3f385bba0cdf04dbb81
Aaron Salem Boupendza Pozzi,https://www.mackolik.com/futbolcu/a-boupendza/sezon/bjprfeyv38xb284im3yuu3u21,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dox62oj6vw1w67n476jb9fzf8&ctst=2ry1fixv27p3xepazsxcuyoho&_lcl=tr&_fmt=jsonp&_clbk=W3653ed044e877be488ad0a588037ff29039ec4f2c
Arda Kizildag,https://www.mackolik.com/futbolcu/arda-k%C4%B1z%C4%B1lda%C4%9F/sezon/64rhdkn5xwv6gkfpmntb34bje,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=a7jkz1m32wntcvegrwjbr85t5&_lcl=tr&_fmt=jsonp&_clbk=W3b75b15a59f5b3faaaa6c420d1f05206ae2f0f0d3
Mario Gavranovic,https://www.mackolik.com/futbolcu/m-gavranovi%C4%87/sezon/7s512fj69e44qt9a3doc92itx,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=c8ns6z3u8kxldv1zh1evu10rv&_lcl=tr&_fmt=jsonp&_clbk=W3317614eaf6a7ebb050ce2f0e13f1b51044d089af
Aleksandar Pesic,https://www.mackolik.com/futbolcu/a-pe%C5%A1i%C4%87/sezon/doljygv55m8bka220vwvj1vit,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=6vn236uujarzidmmbyww2n76c&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3f40c5202c800dc2e6d2db337abbccf6e74a16490
Marin Anicic,https://www.mackolik.com/futbolcu/m-ani%C4%8Di%C4%87/sezon/dznptdkaiu8ctjpzwuh5c7u8l,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=9lxhr8j7oaxygigzoikifmk2c&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3e34d2be4f8fbbbae2bcab5c074f164b459ddc76d
Alexandros Katranis,https://www.mackolik.com/futbolcu/a-katr%C3%A1nis/sezon/eegtuidgioyqjgqp76cj7qsb9,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2ncz91xgsl3amfnpx7ygx1990&ctst=d7i1aj8vnexyqv76yt03d54wc&_lcl=tr&_fmt=jsonp&_clbk=W32f2d9fd6c09ef00e4df398749bf54be2e7dd19f0
Gokhan Tore,https://www.mackolik.com/futbolcu/g%C3%B6khan-t%C3%B6re/sezon/4e8l1s8le15ts3p07xg9m5oet,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=a7jkz1m32wntcvegrwjbr85t5&_lcl=tr&_fmt=jsonp&_clbk=W3b75b15a59f5b3faaaa6c420d1f05206ae2f0f0d3
