full_name,priceA,height,body_mass_index,foot,age,position,Successfull Pass Rate,Total Successful Passes,Duels Rate,Duels,Total Losses Of Possession,Time Played,Appearances,Recoveries,Touches,Games Played,Winning Goal,Goals Conceded,Key Passes,Total Shots,Yellow Cards,label
Rogerio Conceicao do Rosario,325000,1.83,23.291,2,32,3,0.7921146953405018,442.0,0.3688212927756654,263.0,264,1987,25,54,894,25,1,23.0,15.0,45.0,4.0,2
Kamil Antoni Wilczek,500000,1.84,24.516,1,35,3,0.6345679012345679,257.0,0.4588859416445623,377.0,258,2074,27,60,772,27,1,21.0,13.0,52.0,2.0,2
Eljif Elmas,23000000,1.82,20.529,2,24,2,0.8731924360400445,785.0,0.4258064516129032,155.0,210,1548,35,75,1178,35,2,10.0,24.0,19.0,5.0,1
Caner Erkin,650000,1.81,23.198,1,35,1,0.7441497659906396,477.0,0.4367816091954023,87.0,323,1318,18,87,1042,18,0,26.0,23.0,4.0,3.0,2
Radoslaw Murawski,850000,1.73,22.72,2,29,2,0.8376383763837638,1135.0,0.5637860082304527,243.0,262,1829,30,187,1656,30,1,19.0,17.0,7.0,5.0,1
Min-Jae Kim,35000000,1.9,23.269,2,27,1,0.910091743119266,2480.0,0.6190476190476191,252.0,278,2976,34,208,3095,34,0,23.0,8.0,7.0,4.0,1
Eren Tozlu,350000,1.78,23.356,2,33,3,0.7703488372093024,530.0,0.4153225806451613,496.0,379,2759,31,102,1264,31,3,42.0,25.0,61.0,6.0,2
Amilton Minervino da Silva,550000,1.72,22.985,2,34,3,0.7022058823529411,191.0,0.4917127071823204,181.0,210,1018,13,56,561,13,1,16.0,16.0,19.0,4.0,2
Mathieu Valbuena,500000,1.67,20.797,3,39,2,0.8394366197183099,298.0,0.4444444444444444,63.0,125,614,18,37,500,18,1,3.0,40.0,8.0,1.0,2
Domagoj Vida,1900000,1.84,22.448,2,34,1,0.8637374860956618,1553.0,0.5681818181818182,176.0,274,2782,31,171,2059,31,0,16.0,8.0,11.0,5.0,2
DeAndre Roselle Yedlin,2500000,1.72,25.352,2,30,1,0.8380952380952381,440.0,0.4691358024691358,81.0,136,1000,12,62,754,12,0,12.0,4.0,1.0,3.0,2
Ghayas Zahid,1000000,1.74,21.799,2,29,2,0.8694362017804155,586.0,0.3984375,128.0,201,1364,27,57,919,27,1,22.0,29.0,9.0,1.0,1
Maicon Pereira Roque,900000,1.9,21.607,2,35,1,0.7058823529411765,12.0,1.0,5.0,5,45,1,1,25,1,0,4.0,3.0,1.0,1.0,2
Alper Potuk,300000,1.77,22.982,2,32,2,0.7443365695792881,690.0,0.5633802816901409,355.0,485,2270,30,195,1534,30,0,25.0,41.0,19.0,8.0,2
Vedat Muriqi,10000000,1.94,24.445,1,29,3,0.5739247311827957,427.0,0.482897384305835,497.0,455,2706,32,80,1173,32,3,32.0,18.0,59.0,6.0,1
Garry Rodrigues,2500000,1.73,23.723,2,33,3,0.7785714285714286,109.0,0.3928571428571428,28.0,74,477,18,15,218,18,0,5.0,8.0,9.0,1.0,2
Tomas Pekhart,400000,1.94,24.179,2,34,3,0.7204301075268817,67.0,0.3958333333333333,96.0,56,774,13,11,183,13,2,8.0,1.0,14.0,2.0,1
Michal Pazdan,200000,1.8,24.074,3,36,1,0.7930327868852459,387.0,0.5,104.0,121,999,14,46,653,14,0,12.0,2.0,3.0,4.0,2
Jimmy Durmaz,375000,1.8,21.296,1,34,2,0.8186274509803921,167.0,0.5217391304347826,23.0,54,167,8,17,246,8,0,4.0,4.0,2.0,2.0,2
Kaan Kanak,150000,1.8,22.84,1,33,1,0.7877280265339967,475.0,0.5108695652173914,92.0,234,1080,12,81,922,12,1,16.0,19.0,8.0,3.0,1
Moryke Fofana,450000,1.8,23.457,3,32,3,0.7662337662337663,295.0,0.4304347826086956,230.0,261,1360,24,57,747,24,2,19.0,20.0,22.0,1.0,2
Gervais Lombe Yao Kouassi,500000,1.79,20.599,2,36,3,0.8380281690140845,119.0,0.1818181818181818,22.0,52,411,11,5,187,11,0,3.0,3.0,6.0,1.0,2
Levan Shengelia,800000,1.84,23.334,1,28,3,0.820738137082601,467.0,0.4,160.0,264,1822,31,86,884,31,0,23.0,24.0,24.0,5.0,2
Adnan Januzaj,9000000,1.86,21.968,1,28,2,0.7283236994219653,126.0,0.5189873417721519,79.0,93,498,9,22,293,9,1,7.0,8.0,8.0,1.0,2
Yuto Nagatomo,700000,1.7,23.529,3,37,1,0.7885304659498208,220.0,0.5818181818181818,55.0,103,630,12,35,462,12,0,6.0,5.0,1.0,1.0,2
Mohamed Naser Elsayed Elneny,11000000,1.79,22.471,2,31,2,0.95,57.0,0.4,5.0,3,111,5,10,64,5,0,2.0,4.0,3.0,1.0,2
Olarenwaju Kayode,2000000,1.76,20.984,2,30,3,0.75,63.0,0.3720930232558139,43.0,50,422,10,19,158,10,0,10.0,2.0,14.0,2.0,2
Fernando Boldrin,300000,1.81,22.893,2,34,2,0.8928571428571429,50.0,0.7777777777777778,9.0,13,98,3,3,72,3,0,2.0,1.0,1.0,1.0,2
Elbasan Rashani,2500000,1.81,21.672,1,30,2,0.8058252427184466,498.0,0.4024390243902439,246.0,274,2062,30,100,1022,30,1,29.0,16.0,26.0,3.0,2
Denis Alibec,850000,1.87,22.02,1,32,3,0.6736842105263158,576.0,0.4010025062656641,399.0,585,2546,31,101,1499,31,2,29.0,74.0,79.0,8.0,1
Ozan Tufan,3500000,1.79,21.847,2,28,2,0.7926829268292683,715.0,0.4202334630350194,257.0,337,2428,42,130,1286,42,1,34.0,27.0,41.0,2.0,2
Alexandru Iulian Maxim,3500000,1.79,22.783,2,33,2,0.8091762252346194,776.0,0.4713114754098361,244.0,405,2131,31,122,1481,31,0,31.0,61.0,39.0,6.0,2
Zymer Bytyqi,5000000,1.76,22.598,2,27,2,0.8,8.0,1.0,3.0,8,27,2,2,21,2,0,8.0,1.0,1.0,0.0,2
Demeaco Duhaney,300000,1.8,21.605,2,25,1,0.8103756708407871,453.0,0.5042016806722689,119.0,195,1430,16,101,906,16,0,24.0,11.0,6.0,5.0,2
Farouk Miya,1200000,1.77,22.344,2,26,2,0.8164794007490637,218.0,0.4318181818181818,88.0,118,841,20,60,442,20,0,8.0,13.0,22.0,3.0,2
Mame Thiam,2700000,1.85,23.083,2,31,3,0.7504621072088724,406.0,0.4479638009049774,221.0,230,1716,24,48,834,24,3,38.0,17.0,35.0,1.0,2
